	0
0.4	2
10	3
107	5
10th	6
10year	7
13600	8
1930s	9
2008	10
2008style	11
2009	12
2012	13
3	14
37	15
40.6	16
7	17
7	18
7.2	19
7session	20
8	21
90	22
a	23
action	31
activ	33
add	34
adp	35
advanc	36
advice	37
advisori	38
after	41
afterhour	72
afterhours	81
against	82
ahead	83
alcoa	87
aliv	88
an	89
and	90
anoth	96
another	97
anxiety	98
appl	99
applaud	100
april	101
ar	103
as	104
asia	118
asian	124
assess	129
at	130
auction	131
august	132
await	133
b	134
back	135
bank	136
banks	140
bargain	141
barn	142
barrel	143
batten	144
battle	145
bear	146
befor	147
behind	148
bernank	149
bernanke	151
best	154
bid	155
big	156
bill	158
billion	159
birthday	160
blackrock	161
bloodbath	162
boe	163
boost	164
boost	165
bottom	166
bottom	167
bounc	168
brazil	169
brazilian	174
break	175
breakout	176
brent	177
bright	178
broader	179
bubble	180
buckl	181
budget	182
bull	183
bulls	187
but	188
buy	192
by	194
calm	200
calmer	201
canada	202
canadian	208
cancel	209
cheer	210
chevron	211
china	213
chines	217
choppy	218
cisco	219
citi	220
clearwir	221
climb	222
close	225
come	227
comi	228
commod	229
commun	230
concerns	231
confid	233
consid	235
consum	236
continu	238
copper	239
crash	240
credit	241
creditl	242
crisi	243
crisis	244
crude	245
cut	246
cut	248
data	250
data	256
day	267
day	269
debt	271
debt	275
debtceil	276
debtdefault	278
decad	279
december	280
decision	281
declin	282
declines	288
dell	289
demand	290
denbury	291
detroit	292
disappoint	293
disasterpron	294
dollar	295
donat	298
doubledigit	299
dow	300
down	305
down	308
downgrad	311
drop	312
drop	320
drug	322
earn	324
eas	326
econom	327
economy	329
edg	330
efforts	336
egypt	337
end	338
endofquart	345
energy	346
energy	350
energysector	351
energystock	352
epic	353
etf	354
etrade	355
euro	356
europ	357
european	361
eurozon	362
exist	363
exit	364
express	365
extend	366
exxon	370
ey	372
fall	373
fall	389
falls	391
fear	393
february	399
fed	401
financi	407
finish	415
first	416
flat	417
flirt	419
focu	420
focus	423
follow	425
for	426
forecast	441
futur	442
g7	469
ga	470
gain	471
gain	484
gains	485
gap	489
geezer	490
get	491
gird	494
give	495
global	497
gold	500
googl	504
google	505
great	506
greec	507
greece	510
greek	511
greekdowngrad	514
growth	515
happy	517
hard	518
hatch	519
haunt	520
head	521
health	522
here	523
high	524
high	525
higher	526
higher	531
highlight	533
highs	534
hike	535
hike	536
hint	537
hit	538
home	543
hong	544
hope	545
hope	546
hopes	547
hot	548
hours	549
hous	555
hp	557
hurt	562
if	563
in	564
incom	600
index	601
indicator	603
industri	604
inflat	606
initi	609
intensify	610
invest	611
